Bratislavský kraj,,
,,
Bratislava I ,,
,,
Púchov ,,
,,
Marián Michalec,NEKA,2 372
Miroslav Kubičár,NEKA,1 518
Ľuboš Savara,"ANO,ĽS-HZDS,P SNS,ZSNS",1 266
,,
Trenčín ,,
,,
Jozef Habánik,"ANO,ĽS-HZDS,P SNS,ZSNS",2 967
Ján Krátky,"HZD,KDH,SF,SNS,SMER",2 871
Stanislav Svatík,"ANO,ĽS-HZDS,P SNS,ZSNS",2 804
Mária Hládeková,"ANO,ĽS-HZDS,P SNS,ZSNS",2 777
Peter Sika,"ANO,ĽS-HZDS,P SNS,ZSNS",2 439
Anna Kováčová,"HZD,KDH,SF,SNS,SMER",2 328
Pavol Krištof,"ANO,ĽS-HZDS,P SNS,ZSNS",2 280
Magda Košútová,"HZD,KDH,SF,SNS,SMER",2 272
,,
Nitriansky kraj,,
,,
Komárno ,,
,,
Ladislav Basternák,SMK-MKP,9 263
Béla Angyal,SMK-MKP,9 249
Csaba Földes,SMK-MKP,9 029
Tibor Bastrnák,SMK-MKP,8 064
Éva Hortai,SMK-MKP,7 958
Sándor Bastrnák,SMK-MKP,6 739
Miklós Fehér,SMK-MKP,6 619
János Sárközi,SMK-MKP,6 582
,,
Levice ,,
,,
Alena Frtúsová,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",11 604
Imrich Králik,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",10 348
Igor Varga,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",10 334
Ivan Murín,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",10 218
Ľubica Burdová,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",9 999
Jozef Kubala,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",9 836
Ladislav Kollár,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",9 699
Miloš Zaujec,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",9 520
Dušan Mésároš,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",9 352
,,
Nitra ,,
,,
Jozef Hasilla,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",20 865
Juraj Horváth,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",18 676
Juraj Moravčík,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",18 658
Lýdia Forrová,"KDH,ĽS-HZDS,SDKÚ,SNS,SMER",18 634
