Bratislavský kraj,,
,,
Volebný obvod č. 1,,
 , , 
Jozef Mračna,SMER - SD,"1,259"
Jozef Ondrejka,SMER - SD,"1,435"
Peter Tydlitát,SNS,829
Peter Vrablec,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH",921
,,
Volebný obvod č. 10,,
 , , 
Róbert Bujna,NEKA,421
Marek Čulen,SMS,75
Erika Galanská,"Zmena zdola, DÚ",35
Ľubomír Húbek,SMER - SD,385
Karol Štark,EDS,253
Peter Švaral,NEKA,749
Ondrej Uhliarik,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH",331
,,
Volebný obvod č. 11,,
 , , 
Karol Janata,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH",714
Erik Juračič,SĽS,61
Jozef Kliment,PD,43
Roman Maroš,NEKA,974
Štefánia Moricová,SMER - SD,877
Alžbeta Ondrušová,NOVA,359
,,
Volebný obvod č. 12,,
 , , 
René Bílik,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","2,483"
Richard Demovič,SMER - SD,"1,576"
Ľudovít Jurčík,NOVA,696
Vladimír Kinder,SNS,303
Jozef Kollár,NOVA,968
Oliver Solga,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","2,950"
Jalal Suleiman,KSS,208
Kvetoslava Štrbová,SMER - SD,"1,441"
,,
Volebný obvod č. 13,,
 , , 
Dominik Bučurič,NEKA,414
Peter Fitz,SMER - SD,847
Milan Kajan,NOVA,247
Peter Machciník,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH",413
Juraj Peržo,NEKA,564
,,
Volebný obvod č. 14,,
 , , 
Miroslav Baxa,SMER - SD,440
Radovan Mičunek,NEKA,794
Jozef Mruškovič,NEKA,267
Ivan Patoprstý,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH",817
Ján Šalát,NOVA,215
,,
Volebný obvod č. 15,,
 , , 
Emese Dobošová,SMER - SD,509
Juraj Gubáni,NEKA,647
Karol Jankó,KSS,31
Gabriella Németh,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","1,137"
Jolana Saltiel,RIS,62
Eva Takácsová,NOVA,208
Jozef Zrnek,NEKA,211
,,
Volebný obvod č. 16,,
 , , 
Ladislav Gujber,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","1,366"
Peter Ondrus,NEKA,498
Dušan Šebok,SMER - SD,601
Radoslav Štiglic,SMS,107
,,
Volebný obvod č. 17,,
 , , 
Richard Červienka,NEKA,"1,249"
Tibor Jančula,SNS,250
Oskár Kuna,EDS,53
Ľubomír Poór,SMER - SD,685
