Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
,Ľuboš Savara,2 072, 
,,, 
Obvod Trenčín,,, 
,,, 
"KDH, SDKÚ-DS",Marián Kvasnička,4 711, 
,Ján Krátky,3 207, 
"ĽS-HZDS, SMER",Milan Berec,4 408, 
,Ján Kanaba,4 392, 
,Jozef Habánik,3 972, 
,Anna Vitteková,3 955, 
,Ladislav Pavlík,3 694, 
,Pavol Krištof,3 182, 
,,, 
Nitriansky kraj,,, 
,,, 
Obvod Komárno,,, 
,,, 
SMK-MKP,Árpád Horváth,6 648, 
,László Basternák,6 544, 
,Olga Szabó,6 220, 
,Csaba Fehér,6 133, 
,Csaba Földes,5 837, 
,Béla Halász,5 578, 
,József Bölcs,5 312, 
NEKA,Anton Marek,5 577, 
,,, 
Obvod Levice,,, 
,,, 
"KDH, ĽS-HZDS, SDKÚ-DS, SMER",Ľubica Burdová,7 652, 
,Štefan Mišák,7 476, 
,Emília Nichtová,5 983, 
,Imrich Králik,5 792, 
,Ivan Murín,5 502, 
,Ladislav Kollár,5 173, 
,Igor Varga,5 018, 
,Miloš Zaujec,4 947, 
,Dušan Mésároš,4 507, 
,,, 
Obvod Nitra,,, 
,,, 
"KDH, ĽS-HZDS, SDKÚ-DS, SMER",Jozef Dvonč,16 517, 
,Lýdia Forrová,10 280, 
,Ján Vančo,9 985, 
,Vladislav Borík,9 814, 
,Pavol Meňky,9 737, 
,Juraj Horváth,9 374, 
,Renáta Kolenčíková,9 307, 
,Tibor Tóth,8 931, 
,Viliam Búcora,8 691, 
,Marián Radošovský,8 589, 
,Zoltán Daniš,7 775, 
,Katarína Miškovičová,7 377, 
,Ondrej Ščurka,6 808, 
,,, 
Obvod Nové Zámky,,, 
,,, 
"KDH, ĽS-HZDS, SDKÚ-DS, SMER",Peter Hudák,9 790, 
,Helena Bohátová,8 787, 
,Tibor Matuška,8 650, 
,Ladislav Marenčák,8 136, 
,Igor Sádovský,7 337, 
,Karol Suchan,6 572, 
,Andrej Huršan,5 878, 
,Richard Schwarz,5 727, 
,,, 
Obvod Šaľa,,, 
,,, 
"KDH, ĽS-HZDS, SDKÚ-DS, SMER",Martin Alföldi,2 356, 
SMK-MKP,Gyula Borsányi,2 844, 
,Štefan Jancsó,2 479, 
,František Botka,2 253, 
,,, 
Obvod Štúrovo,,, 
,,, 
SMK-MKP,László Fekete,4 846, 
,Imrich Hugyivár,4 714, 
,Flórián Jávorka,3 929, 
,,, 
Obvod Topoľčany,,, 
,,, 
"KDH, ĽS-HZDS, SDKÚ-DS, SMER",Ján Paulík,6 340, 
,Karol Gerhát,5 562, 
,Pavol Goga,5 082, 
,Juraj Soboňa,4 021, 
,Jozef Vančo,3 698, 
NEKA,Peter Baláž,4 219, 
,,, 
Obvod Zlaté Moravce,,, 
,,, 
"KDH, ĽS-HZDS, SDKÚ-DS, SMER",Marián Kéry,3 991, 
,Vladimír Klučiar,2 888, 
NEKA,Serafína Ostrihoňová,3 060, 
,,, 
Žilinský kraj,,, 
,,, 
Obvod Bytča,,, 
,,, 
"KDH, OKS, SDKÚ-DS",Peter Weber,1 274, 
NEKA,Miroslav Minárčik,1 324, 
,,, 
Obvod Čadca,,, 
,,, 
"HZD, SF, SZ",Jozef Grapa,3 674, 
"KDH, OKS, SDKÚ-DS",Milan Gura,3 405, 
"ĽS-HZDS, SMER",Ján Podmanický,6 530, 
,Jozef Vražel,3 650, 
,Jozef Kanaba,3 222, 
,Andrea Šimurdová,2 652, 
,Marián Masnica,2 494, 
SNS,Anna Belousovová,4 467, 
,,, 
Obvod Dolný Kubín,,, 
,,, 
"ĽS-HZDS, SMER",Ján Neznámy,2 031, 
NEKA,Ivan Budiak,2 827, 
,Metod Kulich,1 359, 
,,, 
Obvod Kysucké Nové Mesto,,, 
,,, 
"ĽS-HZDS, SMER",Vladimír Macášek,1 667, 
NEKA,Jana Svrčková,1 844, 
,Dušan Mičian,1 825, 
,,, 
Obvod Liptovský Mikuláš,,, 
,,, 
"KDH, OKS, SDKÚ-DS",Alexander Slafkovský,4 700, 
,Jozef Repaský,2 984, 
"ĽS-HZDS, SMER",Ján Blcháč,5 557, 
,Ladislav Andreanský,2 895, 
,Marian Vojtík,2 443, 
NEKA,Branislav Tréger,3 356, 
,,, 
Obvod Martin,,, 
,,, 
"KDH, OKS, SDKÚ-DS",Katarína Adamicová,3 245, 
,Imrich Žigo,2 414, 
"ĽS-HZDS, SMER",Zdeno Kozák,3 381, 
,Alexander Lilge,3 032, 
,Jozef Országh,2 791, 
NEKA,František Výrostko,3 747, 
,Peter Vons,3 715, 
,Miroslav Mazúr,2 296, 
,,, 
Obvod Námestovo,,, 
,,, 
"KDH, OKS, SDKÚ-DS",Jozef Straka,3 013, 
,Ján Škombár,2 671, 
"ĽS-HZDS, SMER",Viera Mazúrová,2 310, 
NEKA,Milan Vrábeľ,2 494, 
,František Poleta,2 094, 
,,, 
Obvod Ružomberok,,, 
,,, 
"KDH, OKS, SDKÚ-DS",Stanislav Bella,3 602, 
,Michal Slašťan,3 563, 
,Peter Caban,2 526, 
SNS,Dušan Lauko,2 503, 
,Milan Frič,2 043, 
,,, 
Obvod Turčianske Teplice,,, 
,,, 
"ĽS-HZDS, SMER",Milan Litva,1 627, 
,,, 
Obvod Tvrdošín,,, 
,,, 
"KDH, OKS, SDKÚ-DS",Vojtech Koleják,3 785, 
"ĽS-HZDS, SMER",Rudolf Piták,1 972, 
SNS,Ivan Šaško,1 766, 
,,, 
Obvod Žilina,,, 
,,, 
"KDH, OKS, SDKÚ-DS",Ľubomír Bažík,5 971, 
,Pavel Pavlásek,5 439, 
,Andrej Sočuvka,4 930, 
,Ivan Chaban,4 475, 
,Mária Gašicová,4 166, 
,Peter Dobeš,4 103, 
"ĽS-HZDS, SMER",Juraj Popluhár,6 281, 
,Igor Choma,6 195, 
,Robert Ficek,4 316, 
,Branislav Bačík,3 813, 
,Jozef Štrba,3 787, 
SNS,Štefan Zelník,4 784, 
,Ján Slota,4 043, 
,,, 
Banskobystrický kraj,,, 
,,, 
Obvod Banská Bystrica,,, 
,,, 
"KDH, SDKÚ-DS",Ján Chladný,4 755, 
,Viera Marková,4 180, 
,Peter Lačný,3 704, 
"ĽS-HZDS, SMER",Ján Šulaj,4 515, 
,Peter Bielik,4 415, 
,Ladislav Topoľský,4 402, 
,Peter Mečiar,4 053, 
,Ľubica Laššáková,3 992, 
,,, 
Obvod Banská Štiavnica,,, 
,,, 
"ĽS-HZDS, SMER",Marian Zimmermann,760, 
,,, 
Obvod Brezno,,, 
,,, 
"HZD, SNS",Eva Wolframová,2 885, 
,Dušan Švantner,2 048, 
"ĽS-HZDS, SMER",Jaroslav Demian,2 945, 
,Pavel Belko,2 254, 
,Jozef Tokár,1 904, 
,,, 
Obvod Detva,,, 
,,, 
"ĽS-HZDS, SMER",Roman Malatinec,1 939, 
"MOST-HÍD, SZ",Miroslav Suja,1 937, 
NEKA,Ján Šufliarský,2 701, 
,,, 
Obvod Krupina,,, 
,,, 
"ĽS-HZDS, SMER",Rudolf Gabryš,1 240, 
NEKA,Radoslav Vazan,1 673, 
,,, 
Obvod Lučenec,,, 
,,, 
"ĽS-HZDS, SMER",Branislav Hámorník,2 850, 
,Milan Spodniak,2 442, 
SMK-MKP,Péter Csúsz,3 302, 
,Zsuzsanna Szvorák,2 229, 
,Péter György,2 208, 
,,, 
Obvod Poltár,,, 
,,, 
"HZD, SNS",Ján Chromek,2 028, 
"KDH, SDKÚ-DS",Pavel Olšiak,1 387, 
,,, 
Obvod Revúca,,, 
,,, 
"ĽS-HZDS, SMER",Ján Šeševička,2 594, 
SMK-MKP,Anna Szögedi,1 660, 
NEKA,Eva Cireňová,1 517, 
,,, 
Obvod Rimavská Sobota,,, 
,,, 
"ĽS-HZDS, SMER",Peter Mináč,4 128, 
,Michal Bagačka,3 976, 
,Pavel Struhár,3 691, 
SMK-MKP,Zoltán Bán,3 125, 
,František Auxt,3 062, 
NEKA,Peter Juhász,3 382, 
,,, 
Obvod Veľký Krtíš,,, 
,,, 
"ĽS-HZDS, SMER",Ondrej Kollár,2 455, 
SMK-MKP,László Jámbor,2 392, 
NEKA,Mirko Trojčák,3 238, 
,,, 
Obvod Zvolen,,, 
,,, 
"KDH, SDKÚ-DS",Jozef Mikuš,5 801, 
"ĽS-HZDS, SMER",Jozef Ježík,5 893, 
,Juraj Družbacký,5 548, 
,Milan Čarnoky,4 859, 
,Stanislav Koreň,2 971, 
,,, 
Obvod Žarnovica,,, 
,,, 
"ĽS-HZDS, SMER",Kamil Danko,2 152, 
,Ján Havran,1 381, 
,,, 
Obvod Žiar nad Hronom,,, 
,,, 
"KDH, SDKÚ-DS",Ivan Černaj,2 682, 
"ĽS-HZDS, SMER",Božena Kováčová,3 021, 
,Ladislav Kukolík,3 020, 
,Vladimír Flimer,2 774, 
,,, 
Prešovský kraj,,, 
,,, 
Obvod Bardejov,,, 
,,, 
"KDH, SDKÚ-DS",Pavol Tarcala,4 172, 
,Ján Paľa,3 458, 
"ĽS-HZDS, SMER",Boris Hanuščak,5 579, 
,Andrej Havrilla,3 888, 
,Jozef Halecký,3 352, 
NEKA,Pavol Ceľuch,3 677, 
,,, 
Obvod Humenné,,, 
,,, 
"ĽS-HZDS, SMER",Jana Vaľová,4 450, 
,Ján Ferko,3 257, 
,Tibor Focko,2 491, 
ÚSVIT,Ivan Hopta,2 551, 
NEKA,Vladimír Kostilník,2 741, 
,,, 
Obvod Kežmarok,,, 
,,, 
"KDH, SDKÚ-DS",Cyril Václav,2 134, 
,Miroslav Perignáth,1 908, 
"LIGA, ND, SF, SZ",Pavol Slovík,2 064, 
"ĽS-HZDS, SMER",Štefan Bieľak,2 790, 
,Jozef Harabin,2 025, 
,,, 
Obvod Levoča,,, 
,,, 
"KDH, SDKÚ-DS",Miroslav Čurilla,1 477, 
,Milan Majerský,1 360, 
"ĽS-HZDS, SMER",Vladimír Ledecký,1 620, 
,,, 
Obvod Medzilaborce,,, 
,,, 
NEKA,Ivan Solej,1 940, 
,,, 
Obvod Poprad,,, 
,,, 
"KDH, SDKÚ-DS",Milan Baran,4 029, 
,Jozef Mezovský,3 065, 
,Stanislav Kubaský,2 831, 
,Štefan Kubík,2 617, 
"ĽS-HZDS, SMER",Anton Danko,4 318, 
,Alžbeta Havrančíková,2 580, 
,Rudolf Abrahám,2 442, 
NEKA,Michal Sýkora,3 180, 
,,, 
Obvod Prešov,,, 
,,, 
"KDH, SDKÚ-DS",Stanislav Kahanec,6 441, 
,Štefan Kužma,6 137, 
,Juraj Hurný,5 447, 
,Mária Čížiková,5 069, 
,Anton Gašpár,5 060, 
,Róbert Oros,4 894, 
,Zdenko Velecký,4 741, 
,Andrea Turčanová,4 671, 
"ĽS-HZDS, SMER",Emil Chlapeček,5 265, 
,Jozef Kičura,5 228, 
,Mikuláš Komanický,5 121, 
,Miroslav Benko,4 632, 
,,, 
Obvod Sabinov,,, 
,,, 
"KDH, SDKÚ-DS",Eduard Vokál,2 510, 
,Milan Gaľa,2 366, 
"ĽS-HZDS, SMER",Peter Molčan,2 687, 
,Miroslav Čekan,2 679, 
,,, 
Obvod Snina,,, 
,,, 
"KDH, SDKÚ-DS",Jaroslav Regec,1 735, 
"ĽS-HZDS, SMER",Nadežda Sirková,2 297, 
HZD,Jozef Savka,1 818, 
,,, 
Obvod Stará Ľubovňa,,, 
,,, 
"KDH, SDKÚ-DS",František Orlovský,2 404, 
"ĽS-HZDS, SMER",Peter Bizovský,3 408, 
,Peter Sokol,3 134, 
NEKA,Anna Aftanasová,2 839, 
,,, 
Obvod Stropkov,,, 
,,, 
"ĽS-HZDS, SMER",Peter Obrimčák,1 638, 
NEKA,Milan Bzdil,1 289, 
,,, 
Obvod Svidník,,, 
,,, 
"KDH, SDKÚ-DS",Ján Holodňák,2 517, 
"LIGA, ND, SF, SZ",Peter Pilip,1 857, 
"ĽS-HZDS, SMER",Milan Cocuľa,2 303, 
,,, 
Obvod Vranov nad Topľou,,, 
,,, 
"KDH, SDKÚ-DS",Marek Fedor,3 437, 
,Marek Molčan,2 531, 
"ĽS-HZDS, SMER",Ján Ragan,4 916, 
,Juraj Kuročka,3 126, 
,Tomáš Lešo,3 100, 
SRK,Miroslav Daňo,2 491, 
,,, 
Košický kraj,,, 
,,, 
Obvod Košice I,,, 
,,, 
"DS, KDS, OKS, SDKÚ-DS",Ján Süli,2 388, 
,Marek Vargovčák,1 763, 
SMER,Ladislav Lazar,2 253, 
,Jozef Burian,1 758, 
NEKA,Ľubica Blaškovičová,1 595, 
,,, 
Obvod Košice II,,, 
,,, 
"DS, KDS, OKS, SDKÚ-DS",Rudolf Bauer,2 640, 
,Viliam Novotný,1 929, 
SMER,Pavol Mutafov,2 015, 
,Mária Grüllingová,1 860, 
,Marta Budišová,1 652, 
NEKA,Alfonz Halenár,2 171, 
,,, 
Obvod Košice III,,, 
,,, 
SMER,Jozef Andrejčák,1 041, 
NEKA,Eva Antónyová,793, 
,,, 
Obvod Košice IV,,, 
,,, 
"ĽS-HZDS, SZS",Anna Jenčová,1 522, 
SMER,Milan Géci,1 934, 
,Boris Farkašovský,1 706, 
NEKA,Jaroslav Hlinka,2 065, 
,,, 
Obvod Košice - okolie,,, 
,,, 
"DS, KDS, OKS, SDKÚ-DS",Milan Rabatin,2 790, 
,Tomáš Suchý,2 697, 
SMER,Jozef Konkoly,3 985, 
,Michal Rečka,3 466, 
,František Petro,2 861, 
,Viliam Bačo,2 807, 
NEKA,Ľubomír Šimko,2 826, 
,Ján Kokarda,2 709, 
