Bratislavský kraj,,
,,
Bratislava I,,
,,
Jozef Augustín,KDH,1 696
Jindřich Šafář,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 631
Anton Augustín,KDH,1 615
Slavomír Čičmanec,KDH,1 585
Peter Stach,KDH,1 546
Ľubomír Ščasný,"HZD,SF,SMER",1 528
Viliam Jasaň,"HZD,SF,SMER",1 491
Eva Gašparíková,SNS,1 251
Robert Rudinský,"HZD,SF,SMER",1 221
Martin Chren,VPRED,1 138
František Lašák,SNS,1 058
Karol Fajnor,KSS,978
Miloš Černák,SNS,974
Peter Belák,"ĽS-HZDS,P SNS,ZSNS",896
Pavel Michalík,VPRED,849
Milan Duchoň,KSS,778
Július Hauser,SNS,777
Lívia Šimová,SNS,770
Peter Krivda,"ĽS-HZDS,P SNS,ZSNS",751
David Dvořák,OL,749
Jozef Artim,KSS,728
Peter Schmidt,OL,724
Vladimír Dlhoš,"ĽS-HZDS,P SNS,ZSNS",706
Dušan Kosík,VPRED,702
Michal Kovalčík,VPRED,693
Rastislav Guľaša,OL,682
Ľudovít Liška,"ĽS-HZDS,P SNS,ZSNS",677
Marián Tolnay,"ĽS-HZDS,P SNS,ZSNS",675
Eugen Gembicki,KSS,663
Mário Jurík,KSS,643
Ľubomír Rohlíček,KSS,608
Daniela Ferancova,ZRS,600
Fridrich Hláva,"ĽS-HZDS,P SNS,ZSNS",600
Stanislav Pacher,SNS,570
Miloslava Necpalová,ÚSVIT,564
Peter Müller,KSS,540
Jozef Osúch,"ĽS-HZDS,P SNS,ZSNS",503
Vladimír Ondrejech,"ĽS-HZDS,P SNS,ZSNS",496
Jozef Valko,ZRS,494
František Kasanický,KSS,491
Bohumil Škultéty,KSS,488
Ivan Spiegel,"ĽS-HZDS,P SNS,ZSNS",467
Alexandra Kolečániová,ÚSVIT,432
Michal Józsa,OL,429
Ružena Škottová,Misia 21,425
Zoltán Sýkora,"ĽS-HZDS,P SNS,ZSNS",412
Jozef Marčiš,SNS,405
Andrej Machovič,SNS,343
Ján Šimon,KSS,333
Petr Orság,ÚSVIT,324
Peter Rychlovský,ĽS,317
Jozef Maceják,ÚSVIT,310
Eleonóra Kováčová,SĽS,283
,,
Malacky,,
,,
Dušan Prokop,"ANO,DS,SDKÚ,SMK-MKP,SZS",996
Pavel Slezák,VPRED,863
Ľubomír Haramia,SNS,793
Miroslav Fruš,"ĽS-HZDS,P SNS,ZSNS",704
Ľubica Havranová,VPRED,700
Róbert Bujna,KDH,689
Branislav Orth,NEKA,689
Pavol Biksadský,KDH,666
Vladimír Tedla,NEKA,662
Jana Vrablicová,NEKA,631
Denis Vaškor,"ANO,DS,SDKÚ,SMK-MKP,SZS",559
Mária Demeterová,KDH,531
Peter Šereš,NEKA,520
Anton Hrica,KDH,512
Richard Nimsch,NEKA,458
Dušan Vavrinec,"HZD,SF,SMER",458
Ivan Klas,SNS,425
Ján Valachovič,SNS,390
Anežka Kujanová,SNS,385
Vojtech Erdély,SNJ,378
Juraj Frajt,"HZD,SF,SMER",364
František Friala,"HZD,SF,SMER",349
Vladimír Moravčík,ĽÚ,324
Ján Padyšák,"ĽS-HZDS,P SNS,ZSNS",285
Ladislav Záhradník,KSS,273
Ľudmila Jánošová,KSS,256
František Baláž,"ĽS-HZDS,P SNS,ZSNS",250
Vladimír Oreský,KSS,232
