Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
Ľubomír Žiak,"KDH, OKS, SDKÚ-DS, SMK-MKP",527, 
Ľubomír Galko,SaS,411, 
Robert Kazarka,NEKA,347, 
Anton Hrnko,SNS,84, 
Ľudmila Jánošová,KSS,37, 
,,, 
Bratislava - obvod č. 12,,, 
,,, 
Peter Wittgrúber,"HZD, ĽS-HZDS, SMER, SZS",941, 
Ján Čech,"HZD, ĽS-HZDS, SMER, SZS",879, 
Juraj Pátek,NEKA,688, 
Jozef Chynoranský,OK,505, 
Miroslav Král,SZ,430, 
Ľudovít Jurčík,SaS,391, 
Miroslava Verešvárska,SaS,379, 
Roman Šišovič,SNS,150, 
Viliam Frič,OK,139, 
Jozef Štolc,SNS,127, 
Dušan Fraňo,"DS, DÚ",121, 
Marián Hanusek,MOST-HÍD,98, 
Marcel Paxian,MOST-HÍD,80, 
Roman Mács,EDS,79, 
Jozef Fodrek,EDS,48, 
Ján Hollý,ÚSVIT,12, 
,,, 
Bratislava - obvod č. 13,,, 
,,, 
Milan Encinger,"KDH, OKS, SDKÚ-DS, SMK-MKP",462, 
Michal Kintler,SaS,247, 
Vladimír Medlen,OK,223, 
Patrik Bujna,EDS,194, 
Igor Korček,NEKA,141, 
Ivan Dudo,SNS,123, 
Ferdinand Noga,KSS,48, 
,,, 
Bratislava - obvod č. 14,,, 
,,, 
Ivan Patoprstý,"KDH, OKS, SDKÚ-DS, SMK-MKP",441, 
Jozef Nižňan,SaS,224, 
Ľudovít Ružička,SNS,210, 
Erik Bilský,OK,109, 
Ivan Kočner,MOST-HÍD,85, 
Rastislav Moravec,EDS,52, 
,,, 
Bratislava - obvod č. 15,,, 
,,, 
Emese Dobošová,"HZD, ĽS-HZDS, SMER, SZS",538, 
Zoltán Polák,MOST-HÍD,298, 
Štefan Vrábeľ,EDS,245, 
Jana Turanská,NEKA,176, 
Jaroslav Jeleník,SaS,158, 
Štefan Páchnik,SNS,124, 
Zora Kováčová,"ND, SF",87, 
Zdenko Marton,KSS,37, 
,,, 
Bratislava - obvod č. 16,,, 
,,, 
Jozef Čič,"HZD, ĽS-HZDS, SMER, SZS",588, 
Alojz Koiš,SNS,285, 
Ján Barkol,SaS,242, 
Ján Batyka,MOST-HÍD,240, 
Ambróz Vincze,OK,84, 
,,, 
Bratislava - obvod č. 17,,, 
,,, 
Ferdinand Turinič,"KDH, OKS, SDKÚ-DS, SMK-MKP",684, 
Vladimír Kabaňa,SaS,390, 
Ladislav Berner,MOST-HÍD,388, 
Štefan Balaško,NEKA,369, 
Zuzana Petrušková,OK,174, 
Pavol Ráček,KSS,166, 
Tibor Bruckmayer,EDS,76, 
Eduard Konečný,SNS,71, 
Vladimír Zajačik,"DS, DÚ",39, 
,,, 
Bratislava - obvod č. 18,,, 
,,, 
Ladislav Cingel,NEKA,470, 
Jaroslav Ferianček,"HZD, ĽS-HZDS, SMER, SZS",281, 
Ľuboš Majer,SaS,221, 
Štefan Hajduch,"ND, SF",217, 
Eugen Oltus,SZ,190, 
Vanda Rybanská,NF,178, 
Roman Horváth,SNS,153, 
Peter Kovács,MOST-HÍD,131, 
Dušan Lengyel,OK,111, 
Kamil Kubica,EDS,92, 
Jana Staroselská,KSS,20, 
René Foltyn,SDĽ,12, 
,,, 
Trnavský kraj,,, 
,,, 
Obvod Dunajská Streda,,, 
,,, 
Ágota Antal,NEKA,4 137, 
Miroslav Gašpar,MOST-HÍD,4 091, 
Jozef Horváth,MOST-HÍD,3 939, 
Árpád Érsek,MOST-HÍD,3 929, 
Lajos Berner,MOST-HÍD,3 830, 
Peter Krascsenics,MOST-HÍD,3 415, 
Andrea Matejčíková,MOST-HÍD,3 399, 
Ľudovít Kulcsár,MOST-HÍD,3 382, 
Vojtech Ravasz,MOST-HÍD,2 937, 
Edmund Örzsik,NEKA,2 553, 
Zoltán Hajdú,NEKA,2 537, 
Peter Buliščák,NEKA,2 136, 
Csaba Öllös,NEKA,2 055, 
Ladislav Rudický,"HZD, ĽS-HZDS, SNS, SMER",1 472, 
Ildikó Dobis,NEKA,1 180, 
Attila Miklós,SaS,1 062, 
Arpád Tilajcsík,"HZD, ĽS-HZDS, SNS, SMER",889, 
Peter Štuller,"KDH, SDKÚ-DS",847, 
Petr Kašpar,SF,823, 
Tibor Sklut,NEKA,772, 
Galina Sándorová,SaS,718, 
Beáta Molnárová,"KDH, SDKÚ-DS",697, 
Alexander Godó,"HZD, ĽS-HZDS, SNS, SMER",646, 
Juraj Kázmér,SaS,645, 
Štefan Horony,"KDH, SDKÚ-DS",602, 
Ernest Mészáros,SaS,584, 
Pavol Šebák,"KDH, SDKÚ-DS",576, 
Vojtech Miklós,SF,571, 
Renáta Kilbergerová,SaS,545, 
Drahomír Vorlíček,"HZD, ĽS-HZDS, SNS, SMER",527, 
Peter Bodó,EDS,522, 
Róbert Takács,EDS,392, 
Csaba Mayer,EDS,372, 
Gabriel Pálinkás,EDS,364, 
Ján Rigó,RIS,354, 
Július Nemčík,EDS,314, 
Mikuláš Urbanics,EDS,272, 
Antonín Siegel,EDS,241, 
,,, 
Obvod Galanta,,, 
,,, 
Imre Farkas,SMK-MKP,3 428, 
Anton Szabó,SMK-MKP,3 158, 
