Trnavský kraj,Volebný obvod č. 3,556530,Horné Zelenice
Trnavský kraj,Volebný obvod č. 3,556602,Horné Trhovište
Trnavský kraj,Volebný obvod č. 3,556611,Tekolďany
Trnavský kraj,Volebný obvod č. 3,556645,Tepličky
Trnavský kraj,Volebný obvod č. 4,506834,Borovce
Trnavský kraj,Volebný obvod č. 4,506982,Dolný Lopašov
Trnavský kraj,Volebný obvod č. 4,506991,Drahovce
Trnavský kraj,Volebný obvod č. 4,507008,Dubovany
Trnavský kraj,Volebný obvod č. 4,507121,Chtelnica
Trnavský kraj,Volebný obvod č. 4,507199,Kočín - Lančár
Trnavský kraj,Volebný obvod č. 4,507229,Krakovany
Trnavský kraj,Volebný obvod č. 4,507342,Moravany nad Váhom
Trnavský kraj,Volebný obvod č. 4,507369,Nižná
Trnavský kraj,Volebný obvod č. 4,507385,Ostrov
Trnavský kraj,Volebný obvod č. 4,507431,Pečeňady
Trnavský kraj,Volebný obvod č. 4,507440,Piešťany
Trnavský kraj,Volebný obvod č. 4,507466,Prašník
Trnavský kraj,Volebný obvod č. 4,507482,Rakovice
Trnavský kraj,Volebný obvod č. 4,507491,Ratnovce
Trnavský kraj,Volebný obvod č. 4,507563,Sokolovce
Trnavský kraj,Volebný obvod č. 4,507679,Trebatice
Trnavský kraj,Volebný obvod č. 4,507709,Veľké Kostoľany
Trnavský kraj,Volebný obvod č. 4,507725,Veselé
Trnavský kraj,Volebný obvod č. 4,507750,Vrbové
Trnavský kraj,Volebný obvod č. 4,556548,Šterusy
Trnavský kraj,Volebný obvod č. 4,556572,Veľké Orvište
Trnavský kraj,Volebný obvod č. 4,556581,Hubina
Trnavský kraj,Volebný obvod č. 4,558338,Ducové
Trnavský kraj,Volebný obvod č. 4,558354,Bašovce
Trnavský kraj,Volebný obvod č. 4,558397,Šípkové
Trnavský kraj,Volebný obvod č. 4,581399,Banka
Trnavský kraj,Volebný obvod č. 5,504203,Senica
Trnavský kraj,Volebný obvod č. 5,504211,Bílkove Humence
Trnavský kraj,Volebný obvod č. 5,504220,Borský Svätý Jur
Trnavský kraj,Volebný obvod č. 5,504238,Borský Mikuláš
Trnavský kraj,Volebný obvod č. 5,504297,Cerová
Trnavský kraj,Volebný obvod č. 5,504319,Čáry
Trnavský kraj,Volebný obvod č. 5,504327,Častkov
Trnavský kraj,Volebný obvod č. 5,504335,Dojč
Trnavský kraj,Volebný obvod č. 5,504360,Hlboké
Trnavský kraj,Volebný obvod č. 5,504386,Hradište pod Vrátnom
Trnavský kraj,Volebný obvod č. 5,504416,Jablonica
Trnavský kraj,Volebný obvod č. 5,504475,Koválov
Trnavský kraj,Volebný obvod č. 5,504491,Kuklov
Trnavský kraj,Volebný obvod č. 5,504513,Kúty
Trnavský kraj,Volebný obvod č. 5,504521,Lakšárska Nová Ves
Trnavský kraj,Volebný obvod č. 5,504572,Moravský Svätý Ján
Trnavský kraj,Volebný obvod č. 5,504602,Osuské
